"Freq [GHz]","IWavePhi [deg]","IWaveTheta [deg]","dB(MonostaticRCSTotal) []"
8.4,285,-75,10.1971741803465
8.4,285,-60,14.9507624871083
8.4,285,-45,12.7923037405318
8.4,285,-30,11.0735437189817
8.4,285,-15,15.9611214629411
8.4,285,0,40.8239518450986
8.4,285,15,27.0245954748766
8.4,285,30,11.6069168348459
8.4,285,45,13.2672352640783
8.4,285,60,3.7600001779051
8.4,285,75,9.33472639184241
8.4,285,90,6.03865895290688
8.4,300,-90,1.52323917352003
8.4,300,-75,-6.31470686968167
8.4,300,-60,1.13922628701006
8.4,300,-45,9.22650253429694
8.4,300,-30,13.4785457279303
8.4,300,-15,19.6380661790908
8.4,300,0,40.9407371118269
8.4,300,15,0.472204306258535
8.4,300,30,2.57687298818098
8.4,300,45,11.1146547358933
8.4,300,60,-7.52346923493741
8.4,300,75,-2.78556998587396
8.4,300,90,5.46586930412804
8.4,315,-90,3.89818023457959
8.4,315,-75,-4.97698317452025
8.4,315,-60,-1.0379406102152
8.4,315,-45,2.09874231934293
8.4,315,-30,10.3529067564905
8.4,315,-15,8.71305184809627
8.4,315,0,40.9818376291482
8.4,315,15,12.2319535350992
8.4,315,30,12.123887546475
8.4,315,45,5.13734082411412
8.4,315,60,-3.26214418816356
8.4,315,75,10.1302739307964
8.4,315,90,7.82130940494095
8.4,330,-90,-0.971831113610063
8.4,330,-75,-5.30935008583446
8.4,330,-60,-6.58562465709626
8.4,330,-45,0.516337513641425
8.4,330,-30,5.41686853669508
8.4,330,-15,8.98165658713172
8.4,330,0,40.9383291389069
8.4,330,15,20.5691258723425
8.4,330,30,7.37679280831926
8.4,330,45,7.21349378127091
8.4,330,60,-1.78872416519256
8.4,330,75,1.42721162494828
8.4,330,90,6.71757771132764
8.4,345,-90,5.94280825768964
8.4,345,-75,-6.79479633919513
8.4,345,-60,-1.02343023688846
8.4,345,-45,-0.112735770062199
8.4,345,-30,-18.7570777926932
8.4,345,-15,5.90767913959964
8.4,345,0,40.8196665071514
8.4,345,15,13.014362775474
8.4,345,30,4.7009196175869
8.4,345,45,-2.55058830508868
8.4,345,60,-16.4593767706142
8.4,345,75,-1.77783322546625
8.4,345,90,7.87866997191696
8.4,360,-90,14.5821813940951
8.4,360,-75,2.11986715322928
8.4,360,-60,-0.17011641821833
8.4,360,-45,-1.1572769791714
8.4,360,-30,-5.01780184695482
8.4,360,-15,4.22732080472636
8.4,360,0,40.653087377623
8.4,360,15,8.96781862900965
8.4,360,30,0.677376962374191
8.4,360,45,1.51525889120339
8.4,360,60,-10.7994170279204
8.4,360,75,-12.4714788127333
8.4,360,90,21.9031665147767
